query,answer
What are the symptoms of What I need to know about Diverticular Disease ?,"The symptoms for diverticulosis and diverticulitis are different.Diverticulosis. Many people don't have symptoms, but some people have cramping, bloating, and constipation. Some people also have bleeding, inflammation, and fistulas. If you are bleeding, bright red blood will pass through your rectum. The rectum is the end of the colon that connects to the anus. The rectum and anus are part of the gastrointestinal tract, which is the passage that food goes through. Rectal bleeding is usually painless, but it can be dangerous. You should see a doctor right away. Diverticulitis. People with diverticulitis can have many symptoms. Often pain is felt in the lower part of the abdomen. If you have diverticulitis, you may have fevers, feel sick to your stomach, vomit, or have a change in your bowel habits."
Who is at risk for What I need to know about Diverticular Disease? ?,"Many people get diverticular disease. Starting at age 40, the chance of getting it increases about every 10 years. About half of people between the ages of 60 and 80 have diverticular disease. Almost everyone over 80 has it."
What are the treatments for What I need to know about Diverticular Disease ?,"Treatment for diverticular disease depends on how serious the problem is and whether you are suffering from diverticulosis or diverticulitis. Most people get better by changing their diet. If you have rectal bleeding, you need to go to the hospital so a doctor can find the part of your colon that is bleeding. The doctor may use a special drug that makes the bleeding stop. The doctor may also decide to operate and remove the part of the colon that is bleeding."
What are the treatments for What I need to know about Diverticular Disease ?,Eating high-fiber foods can help relieve symptoms. Sometimes mild pain medications also help.
What is (are) Kidney Failure: Choosing a Treatment That's Right for You ?,"The kidneys are two bean-shaped organs, each about the size of a fist. They are located just below the rib cage, one on each side of the spine. Every day, the two kidneys filter about 120 to 150 quarts of blood to produce about 1 to 2 quarts of urine, composed of wastes and extra fluid. The urine flows from the kidneys to the bladder through two thin tubes of muscle called ureters, one on each side of the bladder. The bladder stores urine. The muscles of the bladder wall remain relaxed while the bladder fills with urine. As the bladder fills to capacity, signals sent to the brain tell a person to find a toilet soon. When the bladder empties, urine flows out of the body through a tube called the urethra, located at the bottom of the bladder. In men the urethra is long, while in women it is short."
What is (are) Kidney Failure: Choosing a Treatment That's Right for You ?,"Chronic kidney disease means you have damaged kidneys that cannot filter blood normally. Wastes then build up in your blood, harming your body. Kidney disease usually does not get better and may lead to kidney failure. If your kidneys fail, current treatment options can help you live a longer, healthier life. Some people live with kidney disease for years without needing treatment. Others progress quickly to kidney failure."
What is (are) Hyperthyroidism ?,"Hyperthyroidism is a disorder that occurs when the thyroid gland makes more thyroid hormone than the body needs. Hyperthyroidism is sometimes called thyrotoxicosis, the technical term for too much thyroid hormone in the blood. Thyroid hormones circulate throughout the body in the bloodstream and act on virtually every tissue and cell in the body. Hyperthyroidism causes many of the bodys functions to speed up. About 1 percent of the U.S. population has hyperthyroidism.1"
What is (are) Urinary Retention ?,"Urinary retention is the inability to empty the bladder completely. Urinary retention can be acute or chronic. Acute urinary retention happens suddenly and lasts only a short time. People with acute urinary retention cannot urinate at all, even though they have a full bladder. Acute urinary retention, a potentially life-threatening medical condition, requires immediate emergency treatment. Acute urinary retention can cause great discomfort or pain. Chronic urinary retention can be a long-lasting medical condition. People with chronic urinary retention can urinate. However, they do not completely empty all of the urine from their bladders. Often people are not even aware they have this condition until they develop another problem, such as urinary incontinenceloss of bladder control, resulting in the accidental loss of urineor a urinary tract infection (UTI), an illness caused by harmful bacteria growing in the urinary tract."
What is (are) Alagille Syndrome ?,"Alagille syndrome is a genetic condition that results in various symptoms in different parts of the body, including the liver. A person with Alagille syndrome has fewer than the normal number of small bile ducts inside the liver. The liver is the organ in the abdomenthe area between the chest and hipsthat makes blood proteins and bile, stores energy and nutrients, fights infection, and removes harmful chemicals from the blood.
What is (are) Alagille Syndrome ?,"The digestive system is made up of the gastrointestinal (GI) tractalso called the digestive tractand the liver, pancreas, and gallbladder. The GI tract is a series of hollow organs joined in a long, twisting tube from the mouth to the anus. The hollow organs that make up the GI tract are the mouth, esophagus, stomach, small intestine, large intestinewhich includes the colon and rectumand anus. Food enters the mouth and passes to the anus through the hollow organs of the digestive system. The liver, pancreas, and gallbladder are the solid organs of the digestive system. The digestive system helps the body digest food."
causes,What causes Alagille Syndrome ?,"Alagille syndrome is caused by a gene mutation, or defect. Genes provide instructions for making proteins in the body. A gene mutation is a permanent change in the DNA sequence that makes up a gene. DNA, or deoxyribonucleic acid, is the material inside cells that carries genetic information and passes genes from parent to child. Approximately 30 to 50 percent of people with Alagille syndrome have an inherited gene mutation, meaning it has been passed on by a parent. In the remaining cases, the gene mutation develops spontaneously.1 In spontaneous cases, neither parent carries a copy of the mutated gene.
What is (are) Prevent diabetes problems: Keep your heart and blood vessels healthy ?,"Too much glucose in the blood for a long time can cause diabetes problems. This high blood glucose, also called blood sugar, can damage many parts of the body, such as the heart, blood vessels, eyes, and kidneys. Heart and blood vessel disease can lead to heart attacks and strokes, the leading causes of death for people with diabetes. You can do a lot to prevent or slow down diabetes problems.
What is (are) Primary Hyperparathyroidism ?,"Primary hyperparathyroidism is a disorder of the parathyroid glands, also called parathyroids. Primary means this disorder originates in the parathyroid glands. In primary hyperparathyroidism, one or more of the parathyroid glands are overactive. As a result, the gland releases too much parathyroid hormone (PTH). The disorder includes the problems that occur in the rest of the body as a result of too much PTHfor example, loss of calcium from bones.
What is (are) HIV/AIDS and Infections ?,"Having HIV/AIDS weakens your body's immune system. Your immune system normally fights germs that enter your body. When HIV/AIDS makes it weak, it can't fight germs well. This can lead to serious infections that don't often affect healthy people. These are called opportunistic infections (OIs).    There are many types of OIs. Tuberculosis and a serious related disease, Mycobacterium avium complex (MAC) are bacterial infections. Viral infections include cytomegalovirus (CMV) and hepatitis C. Fungi cause thrush (candidiasis), cryptococcal meningitis, pneumocystis carinii pneumonia (PCP) and histoplasmosis, and parasites cause crypto (cryptosporidiosis) and toxo (toxoplasmosis).    Having HIV/AIDS can make any infection harder to treat. People with AIDS are also more likely to suffer complications of common illnesses such as the flu.     The good news is that you can help prevent infections by taking your HIV/AIDS medicines. Other things that can help include practicing safe sex, washing your hands well and often and cooking your food well."
Do you have information about Baby Health Checkup,"There are many new responsibilities when you have a baby. One of them is to make sure they get the checkups that they need. Well-baby exams are important in making sure that your baby is growing and developing properly. If there are problems, you can catch them early. This means that there is a better chance for treatment.    During these checkups, your baby will get any needed immunizations and screenings. This is also a good chance to ask your health care provider any questions about how to care for your baby."
What is (are) Mitral Valve Prolapse ?,"Mitral valve prolapse (MVP) occurs when one of your heart's valves doesn't work properly. The flaps of the valve are ""floppy"" and don't close tightly. Most people who have the condition are born with it. It also tends to run in families.    Most of the time, MVP doesn't cause any problems. Rarely, blood can leak the wrong way through the floppy valve. This can cause       - Palpitations (feelings that your heart is skipping a beat, fluttering, or beating too hard or too fast)    - Shortness of breath    - Cough    - Fatigue, dizziness, or anxiety    - Migraine headaches    - Chest discomfort       Most people who have mitral valve prolapse (MVP) don't need treatment because they don't have symptoms and complications. If you need treatment for MVP, medicines can help relieve symptoms or prevent complications. Very few people will need surgery to repair or replace the mitral valve.    MVP puts you at risk for infective endocarditis, a kind of heart infection. To prevent it, doctors used to prescribe antibiotics before dental work or certain surgeries. Now, only people at high risk of endocarditis need the antibiotics.    NIH: National Heart, Lung, and Blood Institute"
