Query,Query_Length,Retrieval_Time_MS,Generation_Time_MS,Total_Time_MS
What are the symptoms of What I need to know about Diverticular Disease ?,Long,32,16528,16581
Who is at risk for What I need to know about Diverticular Disease? ?,Long,18,21148,21172
What are the treatments for What I need to know about Diverticular Disease ?,Long,14,48344,48366
"What are the treatments for What I need to know about Diverticular Disease ?,Eating high-fiber foods can help relieve symptoms. Sometimes mild pain medications also help.",Long,22,41832,41878
What is (are) Kidney Failure: Choosing a Treatment That's Right for You ?,Long,39,19005,19056
What is (are) Kidney Failure: Choosing a Treatment That's Right for You ?,Long,14,34636,34666
What is (are) Hyperthyroidism ?,Short,27,19761,19795
What is (are) Urinary Retention ?,Medium,29,18388,18428
What is (are) Alagille Syndrome ?,Medium,28,12172,12209
What is (are) Alagille Syndrome ?,Medium,11,10258,10274
What causes Alagille Syndrome ?",Short,15,12013,12047
What is (are) Prevent diabetes problems: Keep your heart and blood vessels healthy ?,Long,18,10641,10677
What is (are) Primary Hyperparathyroidism ?,Medium,17,18253,18279
What is (are) HIV/AIDS and Infections ?,Medium,17,25331,25363
Do you have information about Baby Health Checkup,Medium,34,10674,10720
What is (are) Mitral Valve Prolapse ?,Medium,24,16019,16061
What is (are) Knee Injuries and Disorders ?,Medium,36,17227,17291
What is (are) Poison Ivy, Oak and Sumac ?",Medium,33,40382,40423
What is (are) After Surgery ?,Medium,21,9275,9308
What is (are) Pheochromocytoma ?,Short,36,12340,12387
Do you have information about Secondhand Smoke,Medium,14,11045,11067
Do you have information about Medicare Prescription Drug Coverage,Medium,13,25356,25376
What is (are) Rotator Cuff Injuries ?,Medium,16,12542,12571
What is (are) Helicobacter Pylori Infections ?,Medium,32,13885,13926
What is (are) Attention Deficit Hyperactivity Disorder ?,Medium,16,11349,11372
Do you have information about Diets,Medium,9,29579,29597
What is (are) Peptic Ulcer ?,Medium,12,15687,15704
Do you have information about Ebola,Medium,10,13316,13331
Do you have information about Medicines,Medium,16,18619,18657
What is (are) Prader-Willi Syndrome ?,Medium,18,5924,5949
Do you have information about Drinking Water,Medium,11,22128,22153
What is (are) Autoimmune Diseases ?,Medium,44,24156,24219
What is (are) Infections and Pregnancy ?,Medium,28,32195,32245
What is (are) Coping with Chronic Illness ?,Medium,30,15746,15786
What is (are) Endocarditis ?,Short,21,15832,15866
What is (are) Guillain-Barre Syndrome ?,Medium,17,39944,39969
What is (are) Gum Disease ?,Medium,26,15767,15804
What is (are) Pregnancy and Substance Abuse ?,Medium,14,23168,23190
Do you have information about Evaluating Health Information,Medium,11,30537,30577
What is (are) Degenerative Nerve Diseases ?,Medium,15,15260,15279
Do you have information about Native American Health,Medium,10,15428,15446
What is (are) Gluten Sensitivity ?,Medium,12,8124,8142
What is (are) Head Lice ?,Medium,11,9344,9387
What is (are) Prediabetes ?,Short,12,9799,9816
What is (are) Voice Disorders ?,Medium,10,13634,13649
Do you have information about Eye Wear,Medium,10,54929,54948
